subject,session,trial,side_taken,blocked,block_side,visibility,n_preflight_calls,preflight_lat,n_zone1_calls,zone1_lat,n_junction_calls,junction_lat,junction_predicts_side
batFB80,20260714,3,RIGHT,0,,normal,98,-0.0332,108,-0.0337,14,-1.2888,1
batFB80,20260714,5,RIGHT,0,,normal,75,0.2223,84,0.194,13,-1.562,1
batFB80,20260714,6,RIGHT,1,RIGHT,invisible,72,0.2393,81,0.2081,13,-0.6244,1
batFB80,20260714,7,LEFT,1,RIGHT,invisible,62,0.0008,71,-0.0078,18,1.0075,1
batFB80,20260714,8,LEFT,1,RIGHT,invisible,99,0.1473,110,0.128,16,1.3403,1
batFB80,20260714,9,LEFT,1,RIGHT,invisible,57,0.2119,84,0.0373,14,1.3559,1
batFB80,20260714,10,LEFT,1,RIGHT,invisible,74,0.1078,89,0.087,14,1.36,1
batFB80,20260714,11,LEFT,1,RIGHT,invisible,60,0.1799,70,0.146,21,0.3003,1
batFB80,20260714,14,LEFT,1,RIGHT,invisible,68,0.1744,76,0.1486,20,0.9789,1
batFB80,20260720,3,RIGHT,0,,normal,71,-0.2064,77,-0.1956,14,-1.1631,1
batFB80,20260720,4,RIGHT,0,,normal,65,0.1896,75,0.1769,14,-1.4689,1
batFB80,20260720,5,RIGHT,0,,normal,83,0.2489,94,0.2211,13,-1.2171,1
batFB80,20260720,6,RIGHT,1,RIGHT,visible,72,-0.0428,81,-0.0322,13,-1.4534,1
batFB80,20260720,7,RIGHT,1,RIGHT,visible,69,-0.0345,79,-0.0373,15,-1.4989,1
batFB80,20260720,8,RIGHT,1,RIGHT,visible,64,-0.0075,74,-0.0135,18,-1.3814,1
batFB80,20260720,9,LEFT,1,RIGHT,visible,66,0.0493,80,0.0307,18,-0.4625,0
batFB80,20260720,10,RIGHT,1,RIGHT,normal,75,0.1565,85,0.1355,14,-1.3508,1
